Week,Commodity,Trend,Text,RefinedTrend
weekly_02_2025_Eng.txt,rice,Unknown,"Compared to last year, price of most of fruit",Stable
weekly_02_2025_Eng.txt,rice,Increase,price increase of 62% recorded for,Increase
weekly_02_2025_Eng.txt,fish,Unknown,Fresh Fish,Stable
weekly_02_2025_Eng.txt,rice,Unknown,Wholesale prices of most of the fresh fish,Stable
weekly_02_2025_Eng.txt,rice,Increase,supply. The price increase of 12% and 7%,Increase
weekly_02_2025_Eng.txt,rice,Decrease,"areas. However, the prices decrease of 6%",Decrease
weekly_02_2025_Eng.txt,rice,Unknown,Mullaitivu and Southern areas. Prices of,Stable
weekly_02_2025_Eng.txt,fish,Increase,other fresh fish varieties have increased,Increase
weekly_02_2025_Eng.txt,rice,Unknown,current wholesale prices of most of the,Stable
weekly_02_2025_Eng.txt,fish,Decrease,fresh fish types have decreased with the,Decrease
weekly_02_2025_Eng.txt,rice,Decrease,highest price decrease of 19% was noted,Decrease
weekly_02_2025_Eng.txt,rice,Unknown,The prices of all the fish varieties except,Stable
weekly_02_2025_Eng.txt,rice,Increase,and the highest price increase was,Increase
weekly_02_2025_Eng.txt,rice,Increase,Price increase of paraw and thalapath,Increase
weekly_02_2025_Eng.txt,rice,Decrease,highest price decrease was recorded for,Decrease
weekly_02_2025_Eng.txt,rice,Decrease,salaya by Rs.44.00/kg. Price decrease of,Decrease
weekly_02_2025_Eng.txt,rice,Unknown,prices of most of the fish varieties have,Stable
weekly_02_2025_Eng.txt,rice,Decrease,decreased with the highest price decrease,Decrease
weekly_02_2025_Eng.txt,rice,Increase,and the highest price increase was recorded,Increase
weekly_02_2025_Eng.txt,fish,Unknown,Dried Fish,Stable
weekly_02_2025_Eng.txt,rice,Unknown,Prices of most of the dried fish types have,Stable
weekly_02_2025_Eng.txt,fish,Increase,increased due to decrease of local dried fish,Increase
weekly_02_2025_Eng.txt,rice,Increase,supply. The prices have increased by of 9%,Increase
weekly_02_2025_Eng.txt,rice,Decrease,price of imported sprats has decreased by,Decrease
weekly_02_2025_Eng.txt,rice,Unknown,Thailand. Prices of other dried fish,Stable
weekly_02_2025_Eng.txt,rice,Unknown,current wholesale prices of most of the,Stable
weekly_02_2025_Eng.txt,fish,Decrease,dried fish types have decreased and the,Decrease
weekly_02_2025_Eng.txt,rice,Decrease,highest price decrease of 30% was noted,Decrease
weekly_02_2025_Eng.txt,rice,Unknown,Prices of all the dry fish varieties except for,Stable
weekly_02_2025_Eng.txt,rice,Increase,have increased and the highest price,Increase
weekly_02_2025_Eng.txt,rice,Increase,Rs.114.00/kg. Price increase of anguluwa,Increase
weekly_02_2025_Eng.txt,rice,Unknown,and Rs.79.00/kg respectively.  Price,Stable
weekly_02_2025_Eng.txt,rice,Unknown,prices of most of the dried fish varieties,Stable
weekly_02_2025_Eng.txt,rice,Decrease,have decreased with the highest price,Decrease
weekly_02_2025_Eng.txt,egg,Unknown,Eggs,Stable
weekly_02_2025_Eng.txt,rice,Unknown,Prices of both brown and white eggs have,Stable
weekly_02_2025_Eng.txt,rice,Increase,increased by 1% and prices ranged,Increase
weekly_02_2025_Eng.txt,egg,Unknown,Rs.36.00-40.00/egg for brown eggs and,Stable
weekly_02_2025_Eng.txt,egg,Unknown,Rs. 34.00- 38.00/egg for white eggs.,Stable
weekly_02_2025_Eng.txt,rice,Unknown,prices of both brown and white eggs have,Stable
weekly_02_2025_Eng.txt,rice,Unknown,Prices of both brown and white egg have,Stable
weekly_02_2025_Eng.txt,egg,Increase,increased by about Rs.1.00/egg and the,Increase
weekly_02_2025_Eng.txt,rice,Unknown,price ranged   Rs.36.00-40.00/egg for white,Stable
weekly_02_2025_Eng.txt,egg,Unknown,eggs and Rs.38.00-42.00/egg for brown,Stable
weekly_02_2025_Eng.txt,rice,Unknown,eggs. The average prices of white and,Stable
weekly_02_2025_Eng.txt,egg,Unknown,brown eggs have recorded as Rs.38.28 and,Stable
weekly_02_2025_Eng.txt,rice,Unknown,the prices of both eg g varieties have,Stable
weekly_02_2025_Eng.txt,rice,Increase,Price increase of curry chicken and beef,Increase
weekly_02_2025_Eng.txt,rice,Unknown,Prices of broiler chicken and mutton have,Stable
weekly_02_2025_Eng.txt,rice,Unknown,prices of most of meat varieties have,Stable
weekly_02_2025_Eng.txt,rice,Increase,increased with the highest price increase,Increase
weekly_02_2025_Eng.txt,chicken,Unknown,was recorded for curry chicken by 16%.,Stable
weekly_02_2025_Eng.txt,rice,Unknown,wholesale and retail prices of selected food,Stable
weekly_02_2025_Eng.txt,rice,Unknown,"prevailing prices, price ranges, averages, and a",Stable
weekly_02_2025_Eng.txt,rice,Unknown,comparison of weekly prices. The changes in,Stable
weekly_02_2025_Eng.txt,rice,Unknown,prices reported are always with price prevailed,Stable
weekly_02_2025_Eng.txt,rice,Unknown,The frequency of collection of wholesale price,Stable
weekly_02_2025_Eng.txt,rice,Unknown,"Friday) while with retail prices, it is thrice a",Stable
weekly_02_2025_Eng.txt,rice,Unknown,Rice VarietiesLOCATIONS,Stable
weekly_02_2025_Eng.txt,rice,Unknown,Table 01: Selected Markets:Wholesale Price of Rice (Rs/50kg bag),Stable
weekly_02_2025_Eng.txt,rice,Unknown,Table 02: Selected Markets: Retail Price of Rice (Rs/kg),Stable
weekly_02_2025_Eng.txt,rice,Unknown,LOCATIONS Rice Varieties,Stable
weekly_02_2025_Eng.txt,dhal,Unknown,Green Gram Cowpea Red Dhal,Stable
