Week,Commodity,Trend,Text
weekly_02_2025_Eng.txt,potato,Unknown,Sweet Potato 120.00−150.00134.44128.00112.00 5.03 20.04Maduwa (Imported) −
weekly_02_2025_Eng.txt,vegetable,Unknown,Leafy Vegetable Koduwa (Imported) −
weekly_02_2025_Eng.txt,rice,Unknown,Table 14: Colombo: Wholesale Prices (Rs/kg or Rs/piece)
weekly_02_2025_Eng.txt,rice,Unknown,Average Price Change Compared to
weekly_02_2025_Eng.txt,rice,Unknown,Average Price
weekly_02_2025_Eng.txt,rice,Unknown,Rice Coconut
weekly_02_2025_Eng.txt,fruit,Unknown,Keeri Samba 260.00− 280.00267.78 264.68368.00 3.10-27.23Fruits (Rs/fruit)
weekly_02_2025_Eng.txt,fruit,Unknown,Raw (Red) − Passion Fruit 60.00− 90.00 74.50 71.43 121.54 3.07 -38.70
weekly_02_2025_Eng.txt,onion,Unknown,Onion Mango
weekly_02_2025_Eng.txt,onion,Unknown,Big Onion Kohu −
weekly_02_2025_Eng.txt,potato,Unknown,Potato Orange 100.00− 200.00149.29168.82 250.00 -19.54 -40.29
weekly_02_2025_Eng.txt,coconut,Unknown,Pulses King Coconut 180.00− 230.00195.91197.93 145.20 -2.02 34.92
weekly_02_2025_Eng.txt,fish,Unknown,Cowpea (White) 700.00− 900.00824.35 828.501237.04 -4.15-33.36Sea Fish
weekly_02_2025_Eng.txt,dhal,Unknown,Red Dhal 300.00− 360.00313.57 313.75338.97 -0.18 -7.49Hurulla 900.00−1050.00943.75927.50 905.56 16.25 4.22
weekly_02_2025_Eng.txt,vegetable,Unknown,Vegetable Balaya 800.00−1200.00967.86989.291237.78 -21.43 -21.81
weekly_02_2025_Eng.txt,egg,Unknown,Raddish 180.00− 360.00248.93 230.36275.56 18.57 -9.66Eggs
weekly_02_2025_Eng.txt,fish,Unknown,Ladies Fingers 200.00− 340.00278.62 260.00375.00 18.62-25.70Dried Fish
weekly_02_2025_Eng.txt,chicken,Unknown,Root Crops Chicken (Broiler) 1150.00−1290.001190.001207.691291.82 -17.69 -7.88
weekly_02_2025_Eng.txt,potato,Unknown,Sweet Potato 200.00− 340.00268.00 243.70291.85 24.30 -8.17Chicken (Curry) 1150.00−1250.001196.671108.331027.27 88.33 16.49
weekly_02_2025_Eng.txt,vegetable,Unknown,Leafy Vegetable Pork 1200.00−1300.001233.331233.331275.00 0.00 -3.27
weekly_02_2025_Eng.txt,rice,Unknown,Table 15: Colombo &Suburbs: Retail Prices (Rs/kg or Rs/piece)
weekly_02_2025_Eng.txt,rice,Unknown,Average Price Change Compared to
weekly_02_2025_Eng.txt,rice,Unknown,Average Price Change Compared to
weekly_02_2025_Eng.txt,vegetable,Unknown,Paddy Vegetable (Up Country) Snake Gourd
weekly_02_2025_Eng.txt,onion,Unknown,Red Onion Badulla − Long Beans
weekly_02_2025_Eng.txt,onion,Unknown,Big Onion Welimada 160.00−180.00 168.00Embilipitiya 180.00−200.00192.50
weekly_02_2025_Eng.txt,potato,Unknown,Potato Hambantota −
weekly_02_2025_Eng.txt,vegetable,Unknown,N'Eliya − Vegetable (Low Country) Embilipitiya 80.00−100.00 87.50
weekly_02_2025_Eng.txt,fruit,Unknown,Moneragala 480.00−520.00496.00Brinjal Fruits (Rs/kg)
weekly_02_2025_Eng.txt,rice,Unknown,Table 16: Farmgate/Producer Prices of Food Commodities in Selected Producing Areas (Rs/kg)
weekly_02_2025_Eng.txt,rice,Unknown,PriceCOMMODITY Range Average
weekly_02_2025_Eng.txt,rice,Unknown,Price COMMODITY Range Average
weekly_02_2025_Eng.txt,rice,Unknown,Price COMMODITY
weekly_02_2025_Eng.txt,rice,Unknown,Rice
weekly_02_2025_Eng.txt,onion,Unknown,Red Onion
weekly_02_2025_Eng.txt,onion,Unknown,Big Onion
weekly_02_2025_Eng.txt,potato,Unknown,Potato
weekly_02_2025_Eng.txt,dhal,Unknown,Red Dhal 300.00− 300.00 300.00− 360.00 300.00− 320.00300.00− 320.00340.00− 360.00300.00− 320.00300.00− 300.00300.00− 320.00 300.00− 360.00
weekly_02_2025_Eng.txt,rice,Unknown,Annex 01 - Colombo Markets: Retail Prices of Rice and Subsidiary Food Crops (Rs/kg) Week 02: 10 - 16 Jan 2025
weekly_02_2025_Eng.txt,vegetable,Unknown,Vegetable
weekly_02_2025_Eng.txt,potato,Unknown,Sweet Potato 220.00− 280.00 240.00− 320.00 280.00− 320.00 320.00 − 320.00 320.00− 340.00 280.00− 320.00 220.00− 240.00 200.00− 240.00200.00− 220.00
weekly_02_2025_Eng.txt,vegetable,Unknown,Leafy Vegetable
weekly_02_2025_Eng.txt,coconut,Unknown,Coconut
weekly_02_2025_Eng.txt,rice,Unknown,Annex 02 - Colombo Markets: Retail Prices of Vegetables (Rs/kg) and Coconut (Rs/nut)
weekly_02_2025_Eng.txt,fruit,Unknown,Other Fruits
weekly_02_2025_Eng.txt,coconut,Unknown,King Coconut 200.00− 200.00 200.00− 230.00200.00− 200.00 200.00− 200.00180.00− 200.00180.00− 200.00180.00− 200.00 180.00− 200.00 180.00−200.00
weekly_02_2025_Eng.txt,rice,Unknown,Annex 03 - Colombo Markets: Retail Prices of Fruits (Rs/fruit)
weekly_02_2025_Eng.txt,fish,Unknown,Sea Fish
weekly_02_2025_Eng.txt,egg,Unknown,30 Eggs (Rs/egg)
weekly_02_2025_Eng.txt,fish,Unknown,Dried Fish
weekly_02_2025_Eng.txt,chicken,Unknown,Chicken (Broiler) 1150.00−1150.001160.00−1160.001150.00−1150.001150.00−1150.001260.00−1260.001290.00−1290.00 − 1200.00−1200.001200.00−1200.00
weekly_02_2025_Eng.txt,chicken,Unknown,Chicken (Curry) 1150.00−1150.001160.00−1160.001250.00−1250.001150.00−1250.001250.00−1250.001160.00−1160.00 − 1200.00−1200.001200.00−1200.00
weekly_02_2025_Eng.txt,rice,Unknown,Annex 04 - Colombo Markets: Retail Prices of Sea Fish and Dried Fish (Rs/kg)
weekly_02_2025_Eng.txt,rice,Unknown,Rice - (white Kekulu - normal ) 361 9.88 1.52 - 0.03 0.09 10.67 - 6.94 26.29 1.22 1.5
weekly_02_2025_Eng.txt,rice,Unknown,Rice - (white Kekulu Samba) 355 8.81 1.53 - 0.03 0.09 8.11 - 9.82 30.48 0.92 1.7
weekly_02_2025_Eng.txt,rice,Unknown,Rice - ( Red Kekulu - normal ) 366 8.64 2.12 - 0.05 0.1 8.39 - 4.73 31.7 0.88 1.84
weekly_02_2025_Eng.txt,rice,Unknown,Rice -Samba 369 6.86 2.45 - 0.05 0.13 12.79 - 8.71 37.26 1.18 1.49
